ID,ND1,ND2,ND3,ND4,ND5,HFD1,HFD2,HFD3,HFD4,HFD5
1490,5.17E-06,4.44E-06,8.86E-06,5.19E-06,5.96E-06,3.22E-06,2.24E-06,1.24E-06,1.91E-06,2.47E-06
1597,6.40E-05,0.000139181,0.000197091,0.000262635,0.000166442,2.98E-05,5.87E-05,5.04E-05,7.15E-05,5.26E-05
1617,1.93E-05,4.64E-05,5.24E-05,6.40E-05,4.73E-05,1.48E-05,2.16E-05,1.66E-05,2.07E-05,2.04E-05
1706,3.33E-06,4.35E-06,4.07E-06,3.91E-06,3.97E-06,1.94E-06,1.63E-06,9.79E-07,2.53E-06,1.83E-06
1735,3.71E-05,7.31E-05,5.80E-05,8.58E-05,7.31E-05,4.87E-05,4.15E-05,4.03E-05,2.19E-05,2.79E-05
1762,0.000204833,0.000155549,0.000134801,0.000140591,0.000182867,8.21E-05,0.000100418,9.03E-05,0.000102013,7.97E-05
1917,9.78E-05,0.000269498,0.000192488,9.51E-05,0.000114823,5.54E-05,4.19E-05,3.39E-05,2.69E-05,2.56E-05
1958,2.61E-05,3.55E-05,2.84E-05,2.91E-05,3.13E-05,2.44E-05,2.76E-05,2.16E-05,2.57E-05,2.67E-05
1962,3.45E-05,1.31E-05,1.87E-05,3.89E-05,1.73E-05,4.95E-06,9.03E-06,8.36E-06,9.78E-06,1.10E-05
2019,2.74E-06,3.88E-05,3.97E-05,8.11E-05,8.26E-05,3.91E-06,4.38E-06,1.22E-05,2.82E-06,1.35E-05
2024,2.27E-05,2.00E-05,3.20E-05,6.90E-05,6.37E-05,5.54E-06,7.84E-06,1.08E-05,1.32E-05,8.82E-06
2059,5.35E-05,9.98E-05,0.000135759,0.000138615,0.000132327,6.28E-05,5.35E-05,7.66E-05,6.53E-05,5.97E-05
2064,0.000363294,0.000514253,0.000388045,0.000422312,0.000500235,0.00018572,0.000423334,0.000309013,0.000327919,0.000326985
2082,1.66E-05,1.20E-05,1.18E-05,9.18E-06,1.37E-05,4.30E-06,6.37E-06,6.81E-06,1.21E-05,1.00E-05
2345,1.16E-05,3.63E-05,2.43E-05,1.37E-05,1.46E-05,9.99E-05,5.70E-05,4.39E-05,3.55E-05,3.32E-05
2359,3.40E-05,2.69E-05,2.86E-05,5.32E-05,3.72E-05,1.31E-05,1.61E-05,1.55E-05,3.02E-05,2.14E-05
2499,4.69E-06,5.62E-06,7.33E-06,6.55E-06,7.35E-06,9.48E-07,4.88E-06,4.08E-06,3.20E-06,2.38E-06
2513,4.19E-06,5.08E-06,4.48E-06,6.35E-06,5.42E-06,3.72E-06,2.68E-06,3.59E-06,4.15E-06,3.85E-06
2515,2.88E-05,6.77E-05,6.78E-05,6.68E-05,8.73E-05,2.14E-05,1.46E-05,1.30E-05,1.82E-05,1.59E-05
2549,1.06E-05,2.00E-05,1.30E-05,1.35E-05,1.06E-05,7.44E-06,8.54E-06,4.81E-06,1.04E-05,6.13E-06
2624,1.40E-05,1.49E-05,1.35E-05,2.04E-05,2.28E-05,9.66E-06,1.22E-05,1.06E-05,1.23E-05,1.14E-05
2753,0.000187969,0.000387302,0.000577324,0.000494806,0.000405221,0.000168832,0.000164734,0.000155169,0.000140211,0.000150183
2809,2.06E-05,2.43E-05,2.85E-05,2.37E-05,2.20E-05,1.45E-05,1.79E-05,1.57E-05,2.20E-05,1.66E-05
2841,0.000167794,0.000174602,0.000190184,0.000156022,0.00021658,6.26E-05,0.000111721,7.42E-05,0.00015217,0.000122576
2860,9.13E-05,5.67E-05,4.81E-05,4.11E-05,4.95E-05,8.56E-05,8.71E-05,7.66E-05,0.000101365,7.85E-05
2978,3.36E-05,3.01E-05,4.57E-05,4.37E-05,4.32E-05,2.07E-05,2.68E-05,1.51E-05,2.17E-05,1.61E-05
3100,7.18E-05,0.00047993,0.000331783,0.000360147,0.000165016,3.10E-05,4.34E-05,0.000130549,5.38E-05,5.72E-05
3201,3.40E-05,2.83E-05,3.75E-05,2.76E-05,3.81E-05,2.02E-05,2.82E-05,1.80E-05,2.01E-05,2.34E-05
3300,3.37E-05,3.17E-05,3.68E-05,3.09E-05,3.29E-05,3.16E-05,2.21E-05,2.06E-05,2.40E-05,2.99E-05
3324,8.39E-05,4.45E-05,9.51E-05,4.09E-05,6.44E-05,1.97E-05,3.55E-05,1.90E-05,5.17E-05,4.90E-05
3378,9.82E-06,8.19E-06,6.35E-06,7.17E-06,7.97E-06,2.64E-06,8.16E-06,2.30E-06,2.98E-06,6.02E-06
3386,4.07E-05,2.24E-05,2.54E-05,3.11E-05,2.29E-05,1.56E-05,2.64E-05,1.08E-05,1.96E-05,1.25E-05
3483,7.32E-05,8.15E-05,7.23E-05,0.000106041,8.62E-05,5.53E-05,7.42E-05,2.17E-05,6.14E-05,2.66E-05
3711,0.000195104,9.52E-05,0.000121246,5.44E-05,9.19E-05,0.000296272,0.00036069,0.0006493,0.000290594,0.000419932
3713,8.52E-05,7.06E-05,4.89E-05,4.02E-05,5.56E-05,9.42E-05,0.000154672,0.000199549,0.000126438,0.000157576
